product_code,name,slug,category,collections,price,compare_at_price,currency_code,availability,featured,new_arrival,best_seller,published,short_description,description,long_description,material,color,finish,dimensions,occasions,tags,badges,seo_title,seo_description
AJ-CD-011,Aria Pearl Choker,aria-pearl-choker,necklaces,"pearl-edit|wedding-glow|festive-radiance",2490,2990,BDT,ask_about_availability,true,false,false,false,"A luminous choker concept with a graceful pearl rhythm.","Aria brings a close-fitting pearl-inspired line to the neckline, finished with a delicate central drop.","For the concept wedding and festive edit, Aria creates a soft frame around the neckline while keeping the overall feeling contemporary. The balanced drop adds focus to traditional dress and gives simpler looks an occasion-ready lift.",pearl-inspired alloy,ivory gold,polished,length 36 cm; drop 2 cm,"wedding|festive|occasion","choker|pearl|drop",Featured,Aria Pearl Choker Concept | Aurevia Jewels,"Aria pearl choker is a luminous Aurevia concept designed for wedding and festive necklines."
AJ-CD-012,Raina Charm Anklet,raina-charm-anklet,anklets,"everyday-elegance|gift-picks|golden-hour",1390,1690,BDT,ask_about_availability,false,false,false,false,"A fine anklet finished with one understated charm.","Raina adds a small glint at the ankle through a slim chain and a gently moving charm.","The Raina concept brings a playful detail to everyday dressing while staying polished and easy to wear. It is imagined for sandals, occasion flats, and relaxed festive looks where a small finishing touch makes the styling feel complete.",alloy,soft gold,polished,length 24 cm; charm 9 mm,"daily wear|festive|gifting","anklet|charm|delicate",Gift Pick,Raina Charm Anklet Concept | Aurevia,"Raina charm anklet is a delicate everyday jewelry concept from the Aurevia gift edit."
AJ-CD-013,Avira Sculpted Cuff,avira-sculpted-cuff,bracelets,"minimal-luxe|signature-spark|golden-hour",2290,2690,BDT,ask_about_availability,false,true,false,false,"A smooth open cuff with an architectural silhouette.","Avira pairs a softly squared profile with rounded edges for a modern cuff that feels refined, not severe.","The Avira concept is a confident alternative to a traditional chain bracelet. Its open shape creates visual space at the wrist and gives tailored outfits, evening separates, and minimalist festive styling a clean sculptural accent.",alloy,champagne gold,brushed edges,width 5.5 cm; band 6 mm,"workwear|evening|occasion","cuff|sculptural|minimal",New Arrival,Avira Sculpted Cuff Bracelet Concept | Aurevia,"Avira is a sculptural open cuff bracelet concept for modern, polished Aurevia styling."
AJ-CD-014,Ishani Bloom Studs,ishani-bloom-studs,earrings,"festive-radiance|wedding-glow|gift-picks",1590,1890,BDT,ask_about_availability,false,false,true,false,"Petite bloom studs with a soft festive presence.","Ishani forms a small floral cluster at the ear, bringing a fresh feminine note to occasion dressing.","The Ishani concept is a compact celebration of floral shape. Its petite scale keeps it comfortable for longer events, while the clustered detail adds enough sparkle to pair with festive fabrics, wedding guest looks, and thoughtful jewelry gifting.",alloy,rose gold,polished,flower 1.1 cm,"festive|wedding|gifting","floral|studs|rose-gold",Best Seller,Ishani Bloom Stud Earrings | Aurevia,"Ishani bloom studs are a petite floral earring concept for festive gifting and occasion dressing."
AJ-CD-015,Liora Ribbon Ring,liora-ribbon-ring,rings,"signature-spark|minimal-luxe|golden-hour",1890,2290,BDT,ask_about_availability,false,false,false,false,"A ribbon-like ring with a fluid, feminine twist.","Liora wraps the finger in a softly crossing band that creates movement without excess.","The Liora concept is designed for someone drawn to jewelry with a little gesture. The crossed ribbon form looks considered on its own and pairs naturally with fine bands, making it a graceful choice for dinners, celebrations, or a personal everyday signature.",alloy,warm gold,polished,face width 9 mm; band 2 mm,"occasion|evening|daily wear","ribbon|twist|statement-ring",Concept Favorite,Liora Ribbon Ring Concept | Aurevia Jewels,"Liora ribbon ring is a fluid, feminine Aurevia concept with graceful everyday-to-evening appeal."
AJ-CD-016,Tara Lightline Chain,tara-lightline-chain,necklaces,"everyday-elegance|minimal-luxe|gift-picks",1490,1790,BDT,ask_about_availability,false,true,false,false,"A fine linear chain for clean, modern layering.","Tara keeps the neckline light with a slender chain and a barely-there reflective rhythm.","The Tara concept is a quiet wardrobe essential for people who prefer detail over drama. It can be worn alone with a crisp neckline, paired with Mehr for a layered look, or offered as an approachable first piece in a thoughtful gift set.",alloy,bright gold,polished,length 45 cm; link 2 mm,"daily wear|workwear|gifting","chain|minimal|layering",New Arrival,Tara Lightline Chain Necklace | Aurevia,"Tara lightline chain is a clean, minimal necklace concept for modern layering and gifting."
AJ-CD-017,Devika Sunburst Pendant,devika-sunburst-pendant,pendants,"festive-radiance|golden-hour|signature-spark",1990,2390,BDT,ask_about_availability,true,false,false,false,"A petite sunburst pendant made for warm, radiant styling.","Devika places fine rays around a small centre to create an optimistic, light-catching pendant.","The Devika concept is inspired by the warmth of late afternoon light. Its petite sunburst offers a clear focal point without weighing down the look, making it easy to style with festive colour, warm neutrals, or a simple neckline.",alloy,sunlit gold,polished,pendant 2 cm; chain 45 cm,"festive|occasion|gifting","sunburst|radiance|pendant",Featured,Devika Sunburst Pendant Concept | Aurevia,"Devika sunburst pendant is a radiant Aurevia concept for festive looks and meaningful gifting."
AJ-CD-018,Meher Woven Bangle,meher-woven-bangle,bangles,"wedding-glow|festive-radiance|signature-spark",2390,2890,BDT,ask_about_availability,false,false,true,false,"A woven bangle concept with a graceful heritage-inspired texture.","Meher interlaces slim strands into a polished bangle that feels rooted yet distinctly contemporary.","The Meher concept adds texture to a festive stack while keeping the silhouette clean. Its woven rhythm is imagined to complement traditional textiles, layered bangles, and wedding guest dressing with an elegant sense of continuity.",alloy,antique-soft gold,polished and brushed,inner diameter 5.8 cm; width 8 mm,"wedding|festive|celebration","woven|bangle|texture",Best Seller,Meher Woven Bangle Concept | Aurevia Jewels,"Meher woven bangle is a textured Aurevia concept for contemporary festive and wedding styling."
AJ-CD-019,Elina Crystal Line Bracelet,elina-crystal-line-bracelet,bracelets,"signature-spark|wedding-glow|gift-picks",2090,2490,BDT,ask_about_availability,false,false,false,false,"A slim line bracelet with a subtle crystal-inspired glimmer.","Elina follows the wrist with a neat row of light-catching accents and a clean, delicate profile.","The Elina concept is intended for occasions where a little sparkle feels just right. Its slender line sits comfortably beside a watch or other bracelets, while the restrained shine keeps it suitable for gifting and evening dressing.",crystal-inspired alloy,clear gold,polished,length 17 cm; accent width 3 mm,"occasion|evening|gifting","line-bracelet|crystal-inspired|stacking",Occasion Edit,Elina Crystal Line Bracelet Concept | Aurevia,"Elina crystal line bracelet is a delicate sparkle concept for Aurevia occasion styling and gifting."
AJ-CD-020,Anika Petal Hoops,anika-petal-hoops,earrings,"festive-radiance|everyday-elegance|golden-hour",1690,1990,BDT,ask_about_availability,false,true,false,false,"Soft petal hoops that bring movement to the everyday.","Anika adds petal-like contours to a rounded hoop for a feminine silhouette with gentle dimension.","The Anika concept is a fresh interpretation of the everyday hoop. The petal contour gives it a distinct identity while the rounded scale keeps it easy to wear with casual cottons, modern workwear, and light festive layers.",alloy,soft gold,polished,diameter 2.8 cm; width 5 mm,"daily wear|workwear|festive","hoops|petal|lightweight",New Arrival,Anika Petal Hoop Earrings | Aurevia,"Anika petal hoops are a feminine everyday earring concept with gentle movement and modern polish."
AJ-CD-021,Raahi Signet Ring,raahi-signet-ring,rings,"minimal-luxe|everyday-elegance|signature-spark",1790,2190,BDT,ask_about_availability,false,false,false,false,"A petite signet ring with a smooth, confident face.","Raahi simplifies the signet into a softly rounded profile that feels personal and modern.","The Raahi concept is for understated statement dressing: a clean face, a comfortable band, and enough presence to anchor a stack. It is imagined as an everyday signature for gifting, personal milestones, and polished casual looks.",alloy,classic gold,polished,face 9 mm; band 3 mm,"daily wear|workwear|gifting","signet|minimal|signature",Concept Favorite,Raahi Signet Ring Concept | Aurevia Jewels,"Raahi is a smooth petite signet ring concept for understated everyday signature styling."
AJ-CD-022,Samaira Grace Set,samaira-grace-set,sets,"festive-radiance|wedding-glow|gift-picks",3290,3890,BDT,ask_about_availability,true,true,false,false,"A coordinated necklace and earring set with graceful festive balance.","Samaira pairs a fine collar necklace with matching drops for a composed look that feels celebratory and light.","The Samaira concept is built for invitations, gifting, and moments when coordinated styling makes getting ready feel effortless. Its graceful proportions are designed to frame traditional and contemporary outfits without overwhelming the wearer.",alloy,rose gold,polished,necklace 40 cm; earrings 2.2 cm,"wedding|festive|gifting","matching-set|rose-gold|occasion",New Arrival,Samaira Grace Jewelry Set Concept | Aurevia,"Samaira is an elegant rose-gold jewelry set concept for festive dressing and gifting."
AJ-CD-023,Inaya Dew Anklet,inaya-dew-anklet,anklets,"pearl-edit|everyday-elegance|gift-picks",1490,1790,BDT,ask_about_availability,false,false,true,false,"A delicate anklet finished with petite dew-like accents.","Inaya traces the ankle with a fine chain and small rounded details that catch the light as you move.","The Inaya concept keeps the mood airy and feminine. Its dew-inspired accents bring a soft finishing touch to open footwear, relaxed occasion dressing, or a curated gift moment for someone who loves delicate details.",alloy,ivory gold,polished,length 24 cm; accents 5 mm,"daily wear|festive|gifting","anklet|dew|delicate",Best Seller,Inaya Dew Anklet Concept | Aurevia Jewels,"Inaya dew anklet is an airy, delicate jewelry concept for gifting and everyday festive styling."
AJ-CD-024,Zehra Luma Choker,zehra-luma-choker,necklaces,"pearl-edit|signature-spark|wedding-glow",2690,3190,BDT,ask_about_availability,false,false,false,false,"A softly luminous choker concept with a modern centre detail.","Zehra balances a neat neckline with one reflective focal accent for an elegant, contemporary finish.","The Zehra concept is imagined for the occasions that call for polish with a little presence. Its close silhouette works beautifully with saree necklines and evening dressing, while the restrained centre detail keeps the overall look clean and modern.",pearl-inspired alloy,champagne gold,polished,length 36 cm; centre 1.4 cm,"wedding|occasion|evening","choker|pearl|luminous",Occasion Edit,Zehra Luma Choker Concept | Aurevia,"Zehra Luma is a luminous pearl-inspired choker concept for modern wedding and occasion styling."
